date,inst_f buy,inst_t buy,inst_txf_net,inst_txf_oi,inst_mtx_net,inst_mtx_oi,tse_open,tse_high,tse_low,tse_close,tse_volume,txf_open,txf_high,txf_low,txf_close,txf_volume,above_ma
2019/2/19,1454505771,534301822,1030,59821,1356,9331,10152.11035,10173.46973,10143.15039,10152.25977,101568,10123,10158,10104,10143,71591,32
2019/2/20,10843565364,-78177453,6259,65347,4052,5275,10181.94043,10272.45996,10181.94043,10272.45996,132272,10183,10262,10177,10256,68044,45
2019/2/21,4848117173,-349926260,435,65794,-2182,3045,10282.32031,10319.53027,10256.53027,10319.53027,124139,10255,10327,10232,10323,97327,44
2019/2/22,1279531988,-285294097,-5720,60075,-3369,-328,10309.01953,10322.91992,10269.9502,10322.91992,116690,10272,10312,10245,10308,87939,44
2019/2/25,12384912468,506451083,-691,59388,521,177,10343.4502,10390.92969,10343.4502,10390.92969,133872,10350,10378,10324,10366,104871,45
2019/2/26,4831292203,-352567923,996,60384,-755,-578,10403.03027,10416.91016,10368.86035,10391.54981,139599,10381,10394,10336,10352,100522,44
2019/2/27,4524151315,-1411648610,-423,59961,-1261,-1890,10385.80957,10403.04981,10343.55957,10389.16992,133501,10375,10384,10325,10361,83415,42
2019/3/4,-489435219,-461925292,-8381,51587,-3286,-5204,10385.25,10402.38965,10313.17969,10349.87988,137570,10390,10400,10276,10312,122683,30
2019/3/5,-7027523946,-351216326,3082,53212,-250,374,10323.25,10334.33984,10295.44043,10305.25977,104379,10260,10306,10248,10275,97388,25
2019/3/6,2514223877,-474132720,5005,58217,2732,3113,10328.17969,10359.12012,10327.90039,10357.15039,99868,10283,10333,10282,10322,90466,26
2019/3/7,-3251323354,-69450169,599,58793,-2875,322,10359.46973,10367.98047,10299.45996,10311.67969,107892,10315,10335,10260,10261,95909,24
2019/3/8,-11035414705,-422987131,-2593,56200,-2582,-2260,10274.28027,10274.28027,10204.20996,10241.75,104854,10230,10244,10162,10201,127865,14
2019/3/11,-10357029790,150861180,-1092,55108,-1023,-3283,10224.26953,10269.29981,10214.01953,10250.28027,90908,10170,10234,10168,10227,78112,12
2019/3/12,3077687578,779224430,1439,56571,3738,359,10294.37012,10382.12012,10294.37012,10343.33008,110095,10301,10385,10300,10348,109094,24
2019/3/13,2318438810,238620784,810,57376,-1313,-936,10331.26953,10373.32031,10331.26953,10373.32031,94624,10325,10365,10305,10363,99791,28
2019/3/14,-2223564976,253587913,-6009,51366,-2668,-3600,10391.29981,10407.26953,10339.63965,10348.65039,114085,10390,10392,10322,10337,92014,22
2019/3/15,5563305140,514122234,4478,55853,1857,-1779,10374.66016,10439.24023,10370,10439.24023,153318,10355,10430,10347,10413,105842,35
2019/3/18,5251838839,138872439,221,56074,487,-1292,10455.19043,10512.7002,10445.74023,10512.7002,116102,10437,10487,10420,10478,80996,41
2019/3/19,-224613005,147771270,1309,57383,190,-1102,10497.40039,10525.59961,10484.69043,10512.32031,114940,10483,10511,10461,10501,73231,36
2019/3/20,5595463750,273138541,2707,56702,-700,5283,10529.29981,10556.80957,10506.95996,10551.55957,118934,10493,10549,10492,10545,49292,38
2019/3/21,9908772467,-380653500,5799,63502,1937,3216,10563.92969,10612.33984,10551.66992,10609.54981,111376,10538,10593,10532,10588,90646,42
2019/3/22,2848179606,670184473,-4281,59221,-2629,587,10642.57031,10667.94043,10589.46973,10639.07031,130710,10645,10659,10560,10613,107628,41
2019/3/25,-5182970620,-497201284,-1803,57418,-7195,-6608,10535.12012,10535.12012,10458.79004,10479.48047,107998,10478,10486,10423,10437,100109,28
2019/3/26,-167786961,-188435374,1381,58799,534,-6074,10506.67969,10559.2002,10506.67969,10559.2002,103102,10482,10538,10480,10523,87186,35
2019/3/27,-2008392105,293759630,-1420,56391,-74,-2170,10542.67969,10556.75,10515.86035,10542.7002,103364,10506,10533,10473,10520,88484,31
2019/3/28,47031569,-365690353,4510,60901,697,-1473,10529.01953,10536.25977,10499.29004,10536.25977,88905,10450,10515,10444,10493,83266,29
2019/3/29,6527707679,201291118,-3055,57846,-474,-1947,10551.99023,10641.04004,10525.26953,10641.04004,121401,10551,10600,10476,10598,128133,35
2019/4/1,9134451608,976774867,920,58766,-994,-2941,10714.67969,10735.07031,10627.00977,10642.62988,153345,10679,10715,10615,10640,114428,29
2019/4/2,8002038046,88600012,1441,60207,2327,-614,10695.46973,10728.37988,10685.09961,10690.29981,133668,10688,10704,10668,10678,78326,32
2019/4/3,2834511105,-351624979,-474,59733,-1019,-1588,10725.16992,10741.55957,10690.23047,10704.37988,116310,10688,10728,10671,10695,92554,33
2019/4/8,6797449496,48036125,3046,62779,4431,2843,10759.95996,10807.04981,10759.95996,10800.57031,155952,10779,10795,10745,10770,91782,36
2019/4/9,5162837785,-143447394,4347,67126,2207,5050,10805.38965,10851.59961,10793.76953,10851.59961,138536,10801,10848,10782,10843,70207,42
